id,porepress1,soiltention1,h1x,h1y,h1z,inclination1x,inclination1y
401,4.62,92.7,0.022,0.098,0.028,0.52,0.03
402,4.62,92.7,0.022,0.098,0.028,0.52,0.03
403,4.62,92.7,0.022,0.098,0.028,0.52,0.03
404,4.62,92.7,0.022,0.098,0.028,0.52,0.03
405,4.62,92.7,0.022,0.098,0.028,0.52,0.03
406,4.62,86.78,0.022,0.005,0.025,0.52,0.03
407,4.62,86.78,0.022,0.005,0.025,0.52,0.03
408,4.62,86.78,0.022,0.005,0.025,0.52,0.03
409,4.62,92.7,0.022,0.098,0.028,0.52,0.03
410,4.62,92.7,0.022,0.098,0.028,0.52,0.03
411,4.62,92.7,0.022,0.098,0.028,0.52,0.03
412,4.62,92.7,0.022,0.098,0.028,0.52,0.03
413,4.62,92.7,0.022,0.098,0.028,0.52,0.03
414,4.62,92.7,0.022,0.098,0.028,0.52,0.03
415,4.62,92.7,0.022,0.098,0.028,0.52,0.03
416,4.62,92.7,0.022,0.098,0.028,0.52,0.03
417,4.62,92.7,0.022,0.098,0.028,0.52,0.03
418,4.62,92.7,0.022,0.098,0.028,0.52,0.03
419,4.62,92.7,0.022,0.098,0.028,0.52,0.03
420,4.62,92.7,0.022,0.098,0.028,0.52,0.03
421,4.62,92.7,0.022,0.098,0.028,0.52,0.03
422,4.62,92.7,0.022,0.098,0.028,0.52,0.03
423,4.62,92.7,0.022,0.098,0.028,0.52,0.03
424,4.62,92.7,0.022,0.098,0.028,0.52,0.03
425,4.62,92.7,0.022,0.098,0.028,0.52,0.03
426,4.62,92.7,0.022,0.098,0.028,0.52,0.03
427,4.62,92.7,0.022,0.098,0.028,0.52,0.03
428,4.62,92.7,0.022,0.098,0.028,0.52,0.03
429,4.62,86.78,0.022,0.005,0.025,0.52,0.03
430,4.62,92.7,0.022,0.098,0.028,0.52,0.03
431,4.62,92.7,0.022,0.098,0.028,0.52,0.03
432,4.62,92.7,0.022,0.098,0.028,0.52,0.03
433,4.62,92.7,0.022,0.098,0.028,0.52,0.03
434,4.62,92.7,0.022,0.098,0.028,0.52,0.03
435,4.62,86.78,0.022,0.005,0.025,0.52,0.03
436,4.62,92.7,0.022,0.098,0.028,0.52,0.03
437,4.62,92.7,0.022,0.098,0.028,0.52,0.03
438,4.62,92.7,0.022,0.098,0.028,0.52,0.03
439,4.62,92.7,0.022,0.098,0.028,0.52,0.03
440,4.62,92.7,0.022,0.098,0.028,0.52,0.03
441,4.62,86.78,0.022,0.005,0.025,0.52,0.03
442,4.62,92.7,0.022,0.098,0.028,0.52,0.03
443,4.62,92.7,0.022,0.098,0.028,0.52,0.03
444,4.62,92.7,0.022,0.098,0.028,0.52,0.03
445,4.62,92.7,0.022,0.098,0.028,0.52,0.03
446,4.62,86.78,0.022,0.005,0.025,0.52,0.03
447,4.62,92.7,0.022,0.098,0.028,0.52,0.03
